OBJECTID_1,WorldID,Zone_Name,World,Adm4ID,Adm3ID,Adm2ID,Adm1ID,CntyID,Levels,Adm4_Name,Adm3_Name,Adm2_Name,Adm1_Name,Cnty_Name,Composite,RegionYWAM,GlobalID,FieldYWAM,Population,PopPct,Name,OZcount,Shape_Leng,Cen_x,Cen_y,Shape_Le_1,Shape_Area,OZ_Label,OZ_Label1
1,ISR-SOU,Southern (Ha Darom),A,,,,ISR-SOU,ISR,1,,,,Southern (Ha Darom),Israel,0,Middle East Region,{B47AEBO2-21C8-48C4-86D8-2355544674FB},"Europe, Middle East and North Africa Field",1077824.12775000000,14.79511500000,,1,6.73597756517,34.86787655640,30.83502799150,6.73597756517,1.37345525457,Southern,Southern
2,CHN-HOK-JIU,Jiulong Shixiaqu,B,,,CHN-HOK-JIU,CHN-HOK,CHN,2,,,Jiulong Shixiaqu,Hong Kong SAR,China,0,East Asia Region,{557E61B5-8B7F-4C97-AFC2-AAE34B673DA5},Asia and Pacific Field,2056695.92649000000,0.15369099183,,1,0.51678815861,114.19212403100,22.32438928100,0.51678815861,0.00367651428,Jiulong Shixiaqu,Jiulong Shixiaqu
3,CHN-HOK-XIA,Xianggangdao Shixiaqu,B,,,CHN-HOK-XIA,CHN-HOK,CHN,2,,,Xianggangdao Shixiaqu,Hong Kong SAR,China,0,East Asia Region,{7C926A72-8D03-46C1-B6D1-D833543FDD6B},Asia and Pacific Field,1357056.61626000000,0.10140895143,,1,0.76255461655,114.19512082200,22.25571592340,0.76255461655,0.00720742713,Xianggangdao Shixiaqu,Xianggangdao Shixiaqu
4,CHN-HOK-XIN,Xinjie Shixiaqu,B,,,CHN-HOK-XIN,CHN-HOK,CHN,2,,,Xinjie Shixiaqu,Hong Kong SAR,China,0,East Asia Region,{599BB37C-A306-48F2-93A3-F450D7394017},Asia and Pacific Field,3774538.51707000000,0.28206044507,,1,7.19867269108,114.12761540400,22.39612740310,7.19867269108,0.08476179082,Xinjie Shixiaqu,Xinjie Shixiaqu
5,CHN-MAC,Macao SAR,B,,,,CHN-MAC,CHN,1,,,,Macao SAR,China,0,East Asia Region,{9A9D9EC5-F1BE-4C34-916C-F2F3B8C0D1B0},Asia and Pacific Field,475260.42959300000,0.03551484975,,1,0.34440750695,113.55265406100,22.16136392840,0.34440750695,0.00149839782,Macao SAR,Macao SAR
6,CHN-ANH-ANQ-ANQ,Anqing Shi Shixiaqu,B,,CHN-ANH-ANQ-ANQ,CHN-ANH-ANQ,CHN-ANH,CHN,3,,Anqing Shi Shixiaqu,Anqing Shi,Anhui Province,China,0,East Asia Region,{1A661296-FB97-469B-9647-57676C932346},Asia and Pacific Field,534864.85770800000,0.03996891782,,1,0.90554857954,117.12595500900,30.58349624380,0.90554857954,0.04381049478,Anqing Shi Shixiaqu,Anqing Shi Shixiaqu
7,CHN-ANH-ANQ-HUA,Huaining Xian,B,,CHN-ANH-ANQ-HUA,CHN-ANH-ANQ,CHN-ANH,CHN,3,,Huaining Xian,Anqing Shi,Anhui Province,China,0,East Asia Region,{02DAB242-6404-4EB1-AB4D-251EE0A48FA9},Asia and Pacific Field,729725.24558200000,0.05453027612,,1,1.98729705966,116.79809617900,30.57967106010,1.98729705966,0.15241284671,Huaining Xian,Huaining Xian
8,CHN-ANH-ANQ-QIA,Qianshan Xian,B,,CHN-ANH-ANQ-QIA,CHN-ANH-ANQ,CHN-ANH,CHN,3,,Qianshan Xian,Anqing Shi,Anhui Province,China,0,East Asia Region,{982FE6CD-6DF6-4E81-A627-709FA030C4E0},Asia and Pacific Field,527032.82603200000,0.03938365255,,1,1.98420331280,116.54206129600,30.75018943540,1.98420331280,0.15852993317,Qianshan Xian,Qianshan Xian
9,CHN-ANH-ANQ-SUS,Susong Xian,B,,CHN-ANH-ANQ-SUS,CHN-ANH-ANQ,CHN-ANH,CHN,3,,Susong Xian,Anqing Shi,Anhui Province,China,0,East Asia Region,{39686C14-F579-443E-A69D-5D4B12FBBAB9},Asia and Pacific Field,736949.63499900000,0.05507013403,,1,2.25723632602,116.24677342100,30.10135388320,2.25723632602,0.22482881205,Susong Xian,Susong Xian
10,CHN-ANH-ANQ-TAI,Taihu Xian,B,,CHN-ANH-ANQ-TAI,CHN-ANH-ANQ,CHN-ANH,CHN,3,,Taihu Xian,Anqing Shi,Anhui Province,China,0,East Asia Region,{B75FD51E-B0D6-425E-A922-6F7D9FD3FE2F},Asia and Pacific Field,528548.54752100000,0.03949691807,,1,2.36810341068,116.17078686800,30.49520577080,2.36810341068,0.19339493013,Taihu Xian,Taihu Xian
